location,before_5th,after_5th,before_7am,after_8pm
1 1,13,0,0,0
1 10,12,0,0,0
1 11,11,0,0,0
1 12,12,0,0,0
1 13,12,0,0,0
1 14,12,0,0,0
1 15,12,0,0,0
1 16,12,0,0,0
1 17,9,0,0,0
1 18,16,0,0,0
1 19,12,0,2,0
1 2,16,0,0,0
1 20,8,0,0,0
1 21,12,0,0,0
1 3,12,0,0,0
1 4,11,0,0,0
1 5,12,0,0,0
1 6,12,0,0,0
1 7,12,0,0,0
1 8,12,0,0,0
1 9,12,0,0,0
10 1,10,0,0,0
10 10,10,0,0,0
10 11,10,0,0,0
10 12,10,0,0,0
10 13,10,0,0,0
10 14,10,0,0,0
10 15,10,0,0,0
10 16,10,0,0,0
10 17,10,0,0,0
10 18,10,0,0,0
10 19,11,0,0,0
10 2,10,0,0,0
10 20,10,0,0,0
10 21,9,0,1,0
10 22,10,0,0,0
10 23,9,0,0,0
10 24,10,0,0,0
10 25,11,0,0,0
10 26,9,0,0,1
10 27,9,0,0,0
10 28,5,0,0,0
10 29,10,0,0,0
10 3,10,0,0,0
10 4,10,0,0,0
10 5,10,0,0,0
10 6,10,0,0,0
10 7,10,0,0,0
10 8,10,0,0,0
10 9,38,0,0,0
11 1,10,0,0,0
11 10,10,0,0,0
11 11,10,0,0,0
11 12,10,0,0,0
11 13,10,0,0,0
11 14,63,0,0,0
11 15,9,0,0,0
11 16,11,54,52,20
11 17,10,0,0,0
11 18,114,0,0,0
11 19,11,0,0,0
11 2,10,0,0,0
11 20,10,0,0,0
11 3,10,0,0,0
11 4,10,0,0,0
11 5,5,0,1,0
11 6,10,0,0,0
11 7,10,0,0,0
11 8,11,0,5,0
11 9,5,0,0,0
12 1,10,0,0,0
12 10,11,0,0,0
12 11,10,0,0,0
12 12,10,0,0,0
12 13,10,0,0,0
12 14,10,0,0,0
12 15,10,0,0,0
12 16,10,0,0,0
12 17,10,0,0,0
12 18,10,49,46,21
12 19,78,0,0,0
12 2,10,0,0,0
12 20,10,0,0,0
12 21,10,0,0,0
12 22,10,0,0,0
12 23,10,0,0,0
12 24,10,0,0,0
12 3,10,0,0,0
12 4,11,0,0,0
12 5,10,0,0,0
12 6,10,0,0,0
12 7,10,0,0,0
12 8,10,0,0,0
12 9,11,0,0,0
13 1,10,0,0,0
13 10,10,0,0,0
13 11,10,33,30,15
13 12,10,0,0,0
13 13,10,0,0,0
13 14,10,0,0,0
13 15,10,0,0,0
13 16,11,0,0,0
13 17,10,0,0,0
13 18,10,0,0,0
13 19,10,0,0,0
13 2,10,0,0,0
13 20,16,0,5,0
13 21,10,0,0,0
13 22,15,62,53,21
13 23,10,0,0,0
13 24,13,0,0,0
13 25,11,0,0,0
13 3,12,0,0,0
13 4,10,0,0,0
13 5,10,108,0,0
13 6,57,0,0,0
13 7,10,0,0,0
13 8,10,0,0,0
13 9,10,0,0,0
14 1,10,0,0,0
14 10,10,0,0,0
14 11,10,0,0,0
14 2,10,0,0,0
14 3,10,0,0,0
14 4,10,0,0,0
14 5,9,0,0,0
14 6,75,0,0,0
14 7,10,0,0,0
14 8,11,0,0,0
14 9,10,28,28,25
15 1,15,0,1,0
15 10,10,0,0,0
15 11,10,0,0,0
15 12,10,0,0,0
15 13,10,0,0,0
15 14,10,0,0,0
15 15,10,0,0,0
15 16,15,0,0,0
15 17,10,0,0,0
15 18,10,0,0,8
15 19,56,0,65,24
15 2,10,0,0,0
15 3,24,0,0,0
15 4,10,0,0,0
15 5,9,151,0,0
15 6,15,0,0,0
15 7,15,0,0,0
15 8,10,0,0,0
15 9,10,0,0,0
16 1,10,0,0,0
16 10,64,0,0,0
16 11,10,0,0,0
16 12,10,0,0,0
16 13,5,0,0,0
16 14,10,0,0,0
16 15,10,0,0,0
16 16,10,0,0,0
16 17,10,0,0,0
16 18,44,0,68,17
16 2,10,0,0,0
16 3,10,0,0,0
16 4,11,0,0,0
16 5,139,0,0,0
16 6,10,0,0,0
16 7,10,0,0,0
16 8,10,0,1,0
16 9,11,0,0,0
17 1,10,0,0,0
17 10,9,0,0,0
17 11,9,0,0,0
17 12,10,0,0,0
17 13,10,0,1,0
17 14,12,0,0,0
17 15,9,0,0,0
17 16,10,36,32,9
17 17,10,0,0,0
17 18,10,0,0,0
17 19,10,0,0,0
17 2,10,0,0,0
17 20,10,0,0,0
17 21,10,0,0,0
17 22,11,0,0,0
17 23,10,0,0,0
17 24,12,0,0,0
17 25,11,0,0,0
17 26,10,0,0,0
17 27,12,0,0,0
17 28,8,0,0,0
17 29,10,0,0,0
17 3,10,0,0,0
17 4,10,0,0,0
17 5,10,0,0,0
17 6,10,0,0,0
17 7,14,0,0,0
17 8,10,0,0,0
17 9,10,0,1,0
18 1,10,0,0,0
18 10,10,0,0,0
18 11,10,0,0,0
18 12,9,0,0,0
18 13,38,0,0,0
18 14,11,0,0,0
18 15,10,0,0,0
18 16,11,0,0,0
18 17,16,0,0,0
18 18,10,0,0,0
18 19,10,0,0,0
18 2,11,0,0,0
18 3,10,0,0,0
18 4,10,0,0,0
18 5,10,0,0,0
